source_id,variant_label
ACCESS-CM2,r1i1p1f1
ACCESS-CM2,r2i1p1f1
ACCESS-CM2,r3i1p1f1
ACCESS-ESM1-5,r10i1p1f1
ACCESS-ESM1-5,r1i1p1f1
ACCESS-ESM1-5,r2i1p1f1
ACCESS-ESM1-5,r3i1p1f1
ACCESS-ESM1-5,r4i1p1f1
ACCESS-ESM1-5,r5i1p1f1
ACCESS-ESM1-5,r6i1p1f1
ACCESS-ESM1-5,r7i1p1f1
ACCESS-ESM1-5,r8i1p1f1
ACCESS-ESM1-5,r9i1p1f1
BCC-CSM2-MR,r1i1p1f1
CAMS-CSM1-0,r1i1p1f1
CAMS-CSM1-0,r2i1p1f1
CanESM5-CanOE,r1i1p2f1
CanESM5-CanOE,r2i1p2f1
CanESM5-CanOE,r3i1p2f1
CanESM5,r1i1p1f1
CanESM5,r2i1p1f1
CAS-ESM2-0,r1i1p1f1
CESM2-WACCM,r1i1p1f1
CESM2,r1i1p1f1
CESM2,r2i1p1f1
CMCC-CM2-SR5,r1i1p1f1
CMCC-ESM2,r1i1p1f1
CNRM-CM6-1-HR,r1i1p1f2
CNRM-CM6-1,r1i1p1f2
CNRM-CM6-1,r2i1p1f2
CNRM-CM6-1,r3i1p1f2
CNRM-CM6-1,r4i1p1f2
CNRM-CM6-1,r5i1p1f2
CNRM-CM6-1,r6i1p1f2
CNRM-ESM2-1,r1i1p1f2
CNRM-ESM2-1,r2i1p1f2
CNRM-ESM2-1,r3i1p1f2
CNRM-ESM2-1,r4i1p1f2
CNRM-ESM2-1,r5i1p1f2
EC-Earth3-Veg-LR,r1i1p1f1
EC-Earth3-Veg-LR,r2i1p1f1
EC-Earth3-Veg-LR,r3i1p1f1
EC-Earth3-Veg,r1i1p1f1
EC-Earth3-Veg,r2i1p1f1
EC-Earth3-Veg,r3i1p1f1
EC-Earth3-Veg,r4i1p1f1
EC-Earth3-Veg,r6i1p1f1
EC-Earth3,r1i1p1f1
EC-Earth3,r4i1p1f1
FGOALS-f3-L,r1i1p1f1
FGOALS-g3,r1i1p1f1
FIO-ESM-2-0,r1i1p1f1
GFDL-ESM4,r1i1p1f1
GISS-E2-1-G,r1i1p1f2
GISS-E2-1-G,r1i1p3f1
GISS-E2-1-G,r1i1p5f1
GISS-E2-1-G,r2i1p3f1
GISS-E2-1-G,r2i1p5f1
GISS-E2-1-G,r3i1p3f1
GISS-E2-1-G,r3i1p5f1
GISS-E2-1-G,r4i1p3f1
GISS-E2-1-G,r4i1p5f1
GISS-E2-1-G,r5i1p3f1
GISS-E2-1-H,r1i1p3f1
GISS-E2-1-H,r2i1p3f1
GISS-E2-1-H,r3i1p3f1
GISS-E2-1-H,r4i1p3f1
GISS-E2-1-H,r5i1p3f1
GISS-E2-2-G,r1i1p3f1
GISS-E2-2-G,r2i1p3f1
GISS-E2-2-G,r3i1p3f1
GISS-E2-2-G,r4i1p3f1
GISS-E2-2-G,r5i1p3f1
HadGEM3-GC31-LL,r1i1p1f3
HadGEM3-GC31-LL,r2i1p1f3
HadGEM3-GC31-LL,r3i1p1f3
HadGEM3-GC31-LL,r4i1p1f3
HadGEM3-GC31-MM,r1i1p1f3
HadGEM3-GC31-MM,r2i1p1f3
HadGEM3-GC31-MM,r3i1p1f3
HadGEM3-GC31-MM,r4i1p1f3
IITM-ESM,r1i1p1f1
INM-CM4-8,r1i1p1f1
INM-CM5-0,r1i1p1f1
IPSL-CM6A-LR,r14i1p1f1
IPSL-CM6A-LR,r1i1p1f1
IPSL-CM6A-LR,r2i1p1f1
IPSL-CM6A-LR,r3i1p1f1
IPSL-CM6A-LR,r4i1p1f1
IPSL-CM6A-LR,r6i1p1f1
KACE-1-0-G,r1i1p1f1
MCM-UA-1-0,r1i1p1f2
MIROC-ES2H,r3i1p4f2
MIROC-ES2L,r1i1p1f2
MIROC6,r1i1p1f1
MIROC6,r2i1p1f1
MPI-ESM1-2-HR,r1i1p1f1
MPI-ESM1-2-HR,r2i1p1f1
MPI-ESM1-2-LR,r10i1p1f1
MPI-ESM1-2-LR,r1i1p1f1
MPI-ESM1-2-LR,r2i1p1f1
MPI-ESM1-2-LR,r3i1p1f1
MPI-ESM1-2-LR,r4i1p1f1
MPI-ESM1-2-LR,r5i1p1f1
MPI-ESM1-2-LR,r6i1p1f1
MPI-ESM1-2-LR,r7i1p1f1
MPI-ESM1-2-LR,r8i1p1f1
MPI-ESM1-2-LR,r9i1p1f1
MRI-ESM2-0,r1i1p1f1
MRI-ESM2-0,r1i2p1f1
NESM3,r1i1p1f1
NESM3,r2i1p1f1
NorESM2-LM,r1i1p1f1
NorESM2-MM,r1i1p1f1
TaiESM1,r1i1p1f1
UKESM1-0-LL,r1i1p1f2
UKESM1-0-LL,r2i1p1f2
UKESM1-0-LL,r3i1p1f2
UKESM1-0-LL,r4i1p1f2
UKESM1-0-LL,r8i1p1f2
